"フィーチャID","形状(WKT)","施設名称","所在地","診療科目","開設者分類","病床数","救急告示病院","災害拠点病院","期間開始日時","期間終了日時","作成者","作成日時","更新者","更新日時"
"230","POINT(137.161869742437 35.050040462119)","花木歯科","豊田市明和町２－４７－１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"234","POINT(137.159434640725 35.0829251200591)","岩瀬歯科医院","豊田市元城町２－２８","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"235","POINT(137.188580066731 35.1124308024653)","岩田歯科医院","豊田市平戸橋町太戸８３","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"236","POINT(137.148472365648 35.0659613536376)","久歯科クリニック","豊田市丸山町１－５４－３","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"238","POINT(137.139327517977 35.0899529224007)","宮上歯科医院","豊田市宮上町３－６０－２","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"239","POINT(137.158778765044 35.0886008575483)","宮地歯科医院","豊田市昭和町４－８０","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"240","POINT(137.143933616041 35.0457198051468)","宮島歯科","豊田市大林町１２－１６－１１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"241","POINT(137.159550095432 35.0693080774726)","挙母矯正歯科","豊田市下林町２－５８－１","歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"242","POINT(137.188942088947 35.0898709868256)","京ケ峰ファミリー歯科","豊田市京ケ峰１－１０－１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"244","POINT(137.186623903138 35.1319019109756)","近藤歯科医院（井上）","豊田市井上町１－８０","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"245","POINT(137.14251845931 35.0571505012399)","近藤歯科医院（山之手）","豊田市山之手６－４１","歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"248","POINT(137.12487412032 35.0714768929453)","元町歯科","豊田市柿本町６－４８","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"249","POINT(137.196341167783 35.0641596960488)","五ケ丘歯科","豊田市五ケ丘３丁目１１の５番地","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"250","POINT(137.505507480562 35.2161743525592)","後藤歯科医院","豊田市武節町屋敷１７０","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"251","POINT(137.074296959916 35.0395923058321)","広瀬歯科医院","豊田市前林町京塚根４４－２","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"253","POINT(137.085197703593 35.0526320335395)","甲村歯科堤診療室","豊田市堤町御茶屋７５－１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"255","POINT(137.06195688222 35.0467724129149)","高木歯科","豊田市西岡町保ヶ山７０","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"256","POINT(137.136474632502 35.0661125488196)","鴻の巣歯科","豊田市鴻ノ巣町１－１４－１","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"257","POINT(137.121311699189 35.010017995582)","佐々木歯科","豊田市和会町山神東分７－３","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"258","POINT(137.141233778865 35.0931171579823)","榊原歯科","豊田市朝日町１－５－３","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"261","POINT(137.158225800047 35.1051420110344)","三宅矯正歯科クリニック","豊田市梅坪町１－１８－１１","矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"262","POINT(137.159443981326 35.0882678714448)","三宅歯科医院","豊田市竹生町４－１８","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"268","POINT(137.150290479791 35.0964054365634)","山本歯科医院","豊田市日南町５－２５","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"270","POINT(137.14622071008 35.052408975059)","歯列矯正敬愛歯科クリニック","豊田市御幸本町２－２０３－５","歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"271","POINT(137.095257703146 35.025519451999)","寺田歯科","豊田市若林東町沖田８８－３","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"272","POINT(137.16107335113 35.0943183900585)","柴田歯科医院","豊田市陣中町１－１８－２１","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"273","POINT(137.106522078298 35.0263046455714)","若林歯科","豊田市若林東町棚田１６１－７","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"274","POINT(137.150012973357 35.0299579449032)","寿恵野歯科","豊田市鴛鴨町畔畑１１７－３","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"276","POINT(137.143007605847 35.0852614390229)","小坂加藤歯科","豊田市小坂町９－５３－２","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"277","POINT(137.158385595939 35.0483426490172)","小倉歯科医院","豊田市明和町４－５－１０","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"279","POINT(137.171311522053 35.0644365575558)","小島歯科","豊田市秋葉町６－６－１","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"281","POINT(137.190302287849 35.0699441788266)","松森歯科","豊田市泉町２－６－２","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"283","POINT(137.152544987794 35.0739757318416)","上ころもときわ歯科","豊田市上挙母３－２５","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"284","POINT(137.13742787187 35.0376003170003)","上杉歯科医院","豊田市永覚新町３－４８","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"287","POINT(137.137091347156 35.1179654216979)","浄水ファミリー歯科クリニック","豊田市浄水町南平２１番地１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"288","POINT(137.126580329056 35.0786394697703)","新谷歯科医院","豊田市東新町６－１２－６","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"290","POINT(137.206829800789 35.1805878768851)","深見の森歯科","豊田市深見町岩花１０６７－３９","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"292","POINT(137.154724859911 35.0800215703571)","神田歯科医院","豊田市神田町２－４－６","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"299","POINT(137.056625735026 35.0440987188609)","星ケ丘歯科","豊田市西岡町星ケ丘２６４－１","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"301","POINT(137.165336396496 35.1287486804092)","清水歯科","豊田市四郷町千田５５－３","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"304","POINT(137.165600097457 35.0703960243858)","石黒歯科医院","豊田市下林町５－４４－１","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"305","POINT(137.187492248519 35.0855826311125)","川歯科医院","豊田市美里２－３－１２","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"308","POINT(137.165793096657 35.047748108624)","前山台歯科","豊田市前山町４－１２－５","歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"310","POINT(137.181361906902 35.1212708376776)","村上歯科医院（井上町）","豊田市井上町４－１８７－１","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"311","POINT(137.130523920861 35.0091003487567)","村上歯科医院（上郷町）","豊田市上郷町３－８－７","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"312","POINT(137.093436026537 35.0266857630468)","太田歯科医院","豊田市若林西町塚本７４","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"313","POINT(137.189337917017 35.0654224997467)","大正ファミリー歯科","豊田市五ケ丘１－２－４","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"315","POINT(137.063006520818 35.0384741030616)","大島歯科医院","豊田市大島町栄９３","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"316","POINT(137.14092940286 35.0454305092252)","大林歯科・矯正歯科","豊田市大林町１０－８－１","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"317","POINT(137.176814957336 35.0939975115336)","大澤歯科医院","豊田市高橋町１－４８","歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"319","POINT(137.158595933879 35.074322161555)","竹内佐年デンタルオフィス","豊田市錦町一丁目43番地","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
